"id","name","leagueId","formation","mentality","passing","tackling","attacking_focus","creative_freedom","balance","reputation","stadiumCapacity","trainingFacilityLevel","aiPlaystyleProfileId","aiPlaystyleLocked","lastAIMarketProcessedDate","lastDivisionChangeSeason"
cmny0jd5q10nmohpb6zg8rt0l,Arsenal,cmny0jd5n10niohpbgd8m2q9n,"4-5-1",DEFENSIVE,DIRECT,NORMAL,WINGS,MAXIMUM,1463902,55,50000,1,wing_counter_direct,0,"1,771,545,600,000",
cmny0jd5q10noohpbyh0u3dw6,Aston Villa,cmny0jd5n10niohpbgd8m2q9n,"4-3-3",ATTACKING,MIXED,HARD,WINGS,MAXIMUM,10399788,46,50000,1,gegenpress_intense,0,"1,770,508,800,000",
cmny0jd5r10nqohpb7buntmsp,Bournemouth,cmny0jd5n10niohpbgd8m2q9n,"4-3-3",ATTACKING,MIXED,SOFT,WINGS,MAXIMUM,4740537,43,50000,1,youth_development,0,"1,771,459,200,000",
cmny0jd5s10nsohpbisvfrlmk,Brentford,cmny0jd5n10niohpbgd8m2q9n,"4-3-3",ATTACKING,MIXED,HARD,WINGS,MAXIMUM,1668899,49,50000,1,gegenpress_intense,0,"1,771,632,000,000",
cmny0jd5t10nuohpbg5vi14op,Brighton,cmny0jd5n10niohpbgd8m2q9n,"4-5-1",DEFENSIVE,SHORT,SOFT,CENTER,RESTRICTED,6805923,46,50000,1,defensive_steel,0,"1,770,854,400,000",
cmny0jd5t10nwohpb1rzc74jb,Chelsea,cmny0jd5n10niohpbgd8m2q9n,"4-4-2",ATTACKING,MIXED,NORMAL,CENTER,MAXIMUM,10660023,51,50000,1,galactico_star_hunt,0,"1,770,422,400,000",
cmny0jd5u10nyohpbe0k27ll1,Crystal Palace,cmny0jd5n10niohpbgd8m2q9n,"4-3-3",ATTACKING,MIXED,HARD,WINGS,MAXIMUM,4453373,44,50000,1,gegenpress_intense,0,"1,771,459,200,000",
cmny0jd5u10o0ohpbpdtun8at,Everton,cmny0jd5n10niohpbgd8m2q9n,"4-4-2",ATTACKING,MIXED,NORMAL,CENTER,MAXIMUM,8075544,49,50000,1,galactico_star_hunt,0,"1,770,768,000,000",
cmny0jd5v10o2ohpb9lwqv2i6,Fulham,cmny0jd5n10niohpbgd8m2q9n,"4-3-3",ATTACKING,MIXED,SOFT,WINGS,MAXIMUM,7468759,49,50000,1,youth_development,0,"1,771,372,800,000",
cmny0jd5v10o4ohpb1uw9efyo,Ipswich Town,cmny0jd5n10niohpbgd8m2q9n,"4-4-2",NORMAL,DIRECT,HARD,CENTER,NORMAL,2866611,54,50000,1,physical_duelists,0,"1,771,632,000,000",
cmny0jd5w10o6ohpbr6gb96qp,Leicester City,cmny0jd5n10niohpbgd8m2q9n,"4-4-2",NORMAL,DIRECT,HARD,CENTER,NORMAL,6468698,45,50000,1,physical_duelists,0,"1,770,768,000,000",
cmny0jd5w10o8ohpb6wo901b2,Liverpool,cmny0jd5n10niohpbgd8m2q9n,"4-4-2",NORMAL,DIRECT,NORMAL,MIXED,NORMAL,6442695,51,50000,1,moneyball_value,0,"1,771,286,400,000",
cmny0jd5y10oaohpbhqorcpf0,Manchester City,cmny0jd5n10niohpbgd8m2q9n,"4-4-2",NORMAL,MIXED,NORMAL,MIXED,NORMAL,4508682,51,50000,1,balanced_control,0,"1,770,768,000,000",
cmny0jd5z10ocohpbydqw7wjs,Manchester United,cmny0jd5n10niohpbgd8m2q9n,"4-4-2",NORMAL,MIXED,NORMAL,MIXED,NORMAL,6852968,51,50000,1,,0,,
cmny0jd5z10oeohpbkxo1bs7p,Newcastle United,cmny0jd5n10niohpbgd8m2q9n,"4-5-1",ULTRA_DEFENSIVE,DIRECT,NORMAL,WINGS,NORMAL,9378158,45,50000,1,low_block_counter,0,"1,770,595,200,000",
cmny0jd6010ogohpbfylrrhnw,Nottingham Forest,cmny0jd5n10niohpbgd8m2q9n,"4-4-2",ATTACKING,MIXED,NORMAL,CENTER,MAXIMUM,4533631,46,50000,1,galactico_star_hunt,0,"1,771,286,400,000",
cmny0jd6010oiohpbhmssiciz,Southampton,cmny0jd5n10niohpbgd8m2q9n,"4-5-1",ULTRA_DEFENSIVE,DIRECT,NORMAL,WINGS,NORMAL,2975663,43,50000,1,low_block_counter,0,"1,771,372,800,000",
cmny0jd6110okohpbgeydfcny,Tottenham Hotspur,cmny0jd5n10niohpbgd8m2q9n,"4-4-2",NORMAL,DIRECT,HARD,CENTER,NORMAL,7684493,46,50000,1,physical_duelists,0,"1,770,595,200,000",
